Symbol,MA10,MA30,Volume,Avg_Volume,Change,Signal
DMN,0.7206,0.979067,222700.0,383190.0,-1.392107,0.0
DMN,0.7352,0.9296,518900.0,405090.0,8.941173,0.0
DMN,0.76,0.898267,395400.0,374840.0,-4.967603,0.0
DMN,0.7905,0.8782,330600.0,356790.0,0.909093,0.0
DMN,0.8275,0.8652,553300.0,379140.0,3.603604,0.0
DMN,0.8475,0.848867,268700.0,359200.0,-9.782612,0.0
DMN,0.8514,0.8324,195200.0,360760.0,-7.710845,0.0
DMN,0.8415,0.824267,210200.0,334430.0,-10.443862,1.0
DMN,0.8294,0.819967,1421200.0,444080.0,0.0,1.0
DMN,0.8149,0.816667,215700.0,433190.0,4.518953,0.0
DMN,0.8058,0.811033,105800.0,421500.0,5.85774,0.0
DMN,0.7861,0.803533,1090700.0,478680.0,-3.952573,0.0
DMN,0.7623,0.7906,270800.0,466220.0,-11.93415,0.0
DMN,0.7372,0.7814,144400.0,447600.0,-0.778815,0.0
DMN,0.7145,0.775167,552900.0,447560.0,8.791208,0.0
DMN,0.6928,0.765233,347300.0,455420.0,-11.544017,0.0
DMN,0.6734,0.751967,145200.0,450420.0,-6.68841,1.0
DMN,0.662,0.740933,102200.0,439620.0,0.0,0.0
DMN,0.6514,0.731033,109400.0,308440.0,1.398594,0.0
DMN,0.6407,0.7227,207600.0,307630.0,5.172419,0.0
DMN,0.6198,0.7154,1773900.0,474440.0,-9.836066,0.0
DMN,0.5998,0.707033,365700.0,401940.0,-3.818187,0.0
DMN,0.587,0.7031,235300.0,398390.0,-2.835536,0.0
DMN,0.5725,0.700067,168800.0,400830.0,-4.280153,1.0
DMN,0.558,0.7,163600.0,361900.0,11.382106,0.0
DMN,0.5485,0.696267,126800.0,339850.0,-5.474448,0.0
DMN,0.5452,0.69,57200.0,331050.0,4.054048,0.0
DMN,0.5376,0.680367,791200.0,399950.0,-7.977734,0.0
DMN,0.5269,0.669233,309900.0,420000.0,-4.637097,0.0
DMN,0.5137,0.656433,190400.0,418280.0,1.057081,0.0
DMN,0.509,0.644867,303200.0,271210.0,5.230133,0.0
DMN,0.5051,0.630333,211500.0,255790.0,-2.584495,0.0
DMN,0.4987,0.616,836900.0,315950.0,-8.16327,0.0
DMN,0.4882,0.5993,589600.0,358030.0,-13.999999,0.0
DMN,0.4694,0.580633,778400.0,419510.0,-6.976739,0.0
DMN,0.448,0.5631,944100.0,501240.0,-15.555562,0.0
DMN,0.4183,0.545633,70656000.0,7561120.0,-20.394735,0.0
DMN,0.3905,0.530033,4319200.0,7913920.0,-9.917357,0.0
DMN,0.3617,0.513333,10327700.0,8915700.0,-15.137612,0.0
DMN,0.3308,0.495067,3850900.0,9281750.0,-8.64865,1.0
DMN,0.2975,0.475433,3588700.0,9610300.0,0.591717,1.0
DMN,0.2654,0.456767,1087500.0,9697900.0,-0.588236,1.0
DMN,0.2391,0.4416,2193700.0,9833580.0,10.650892,0.0
DMN,0.2187,0.426467,1551200.0,9929740.0,-2.139042,0.0
DMN,0.2016,0.409667,1964000.0,10048300.0,3.278687,0.0
DMN,0.1888,0.3951,1132400.0,10067130.0,-6.878305,0.0
DMN,0.1821,0.381867,1684500.0,3169980.0,-0.568183,0.0
DMN,0.1782,0.368767,12869300.0,4024990.0,2.285719,0.0
